miRNA Number_of_reads
hsa-mir-203b-3p 2653
hsa-mir-6755-5p 19
hsa-mir-1307-loop 89
hsa-mir-508-3p 9
hsa-mir-12121-3p 9
hsa-mir-6854-3p 8
hsa-mir-4755-5p 38
hsa-mir-499a-3p 6
hsa-mir-4485-3p 161
hsa-mir-329-2-3p 108
hsa-mir-3611-3p 222
hsa-mir-1302-9-3p 4
hsa-mir-105-2-5p 34
hsa-mir-4443-5p 656
hsa-mir-4500-3p 6
hsa-mir-3115-5p 299
hsa-mir-548k-loop 5
hsa-mir-1306-3p 348
hsa-mir-1268b-3p 3
hsa-mir-218-1-5p 860
hsa-mir-3661-5p 4
hsa-mir-6134-5p 1
hsa-mir-101-2-3p 300758
hsa-mir-128-1-5p 2355
hsa-mir-495-3p 149
hsa-mir-3144-5p 8
hsa-mir-151a-3p 209835
hsa-mir-3140-5p 195
hsa-mir-367-3p 94
hsa-mir-548aj-1-loop 1
hsa-mir-3179-2-3p 131
hsa-mir-3605-3p 370
hsa-mir-376b-loop 2
hsa-mir-6743-3p 5
hsa-mir-6858-5p 4
hsa-mir-3191-5p 6
hsa-mir-3193-5p 49
hsa-mir-558-5p 2
hsa-mir-30b-3p 631
hsa-mir-326-3p 403
hsa-mir-939-3p 34
hsa-mir-6793-3p 7
hsa-mir-1915-5p 63
hsa-mir-376b-3p 26
hsa-mir-3944-5p 277
hsa-mir-532-3p 2731
hsa-mir-31-3p 13316
hsa-mir-378a-5p 5837
hsa-mir-12130-3p 17
hsa-mir-4638-3p 19
hsa-mir-541-3p 1
hsa-mir-6511a-1-5p 75
hsa-mir-548l-3p 66
hsa-mir-107-3p 40149
hsa-mir-6865-5p 8
hsa-mir-210-loop 5
hsa-mir-4765-5p 23
hsa-mir-124-1-3p 7
hsa-mir-5088-3p 9
hsa-mir-6758-5p 9
hsa-mir-1180-3p 23654
hsa-mir-7706-3p 2443
hsa-mir-548ah-5p 54
hsa-mir-4511-3p 22
hsa-mir-132-loop 14
hsa-mir-219b-5p 50
hsa-mir-4684-5p 62
hsa-mir-1537-3p 17
hsa-mir-4794-3p 17
hsa-mir-9903-3p 1613
hsa-mir-5094-3p 81
hsa-mir-3150a-3p 66
hsa-mir-5089-3p 51
hsa-mir-379-3p 18
hsa-mir-224-3p 296
hsa-mir-3181-3p 9
hsa-mir-6770-3-3p 12
hsa-mir-1307-3p 61909
hsa-mir-1537-5p 8
hsa-mir-5003-5p 8
hsa-mir-95-3p 44792
hsa-mir-4431-3p 48
hsa-mir-548ah-3p 71
hsa-mir-638-5p 5
hsa-mir-629-5p 25328
hsa-mir-10401-3p 4506
hsa-mir-652-5p 896
hsa-mir-3651-5p 12
hsa-mir-153-1-3p 1016
hsa-mir-6773-5p 39
hsa-mir-10526-loop 6
hsa-mir-342-5p 195
hsa-mir-6874-5p 4
hsa-mir-3146-3p 56
hsa-let-7f-1-loop 43
hsa-mir-548ay-5p 1281
hsa-mir-548ap-5p 8
hsa-mir-6511a-2-5p 97
hsa-mir-4752-5p 41
