											
----- General Data -----											
Measurement	Type: EndPoint, Time: 06/11/2020 / 12:02:07, State: Valid Measurement										
Template	Template loaded during measurement time : c:\programdata\...\luminescence\lumi_1s.par; Modified template adjustments										
Files	Data file : 5FU_HCT_2-3_assay3.dat - 06/11/2020 / 12:03:25 - Operator was Unknown User - Created with Version 5.17										
	Template file : C:\ProgramData\...\Lumi_1s.par - 04/07/2013 / 08:57:06 - Created by Unknown User - Created with Version 5.16.01										
Reader	BertholdTech TriStar, Driver Version: 1.07, (1.0.7.0), S/N: 25-1047, Embedded Version: 1.04										
	Plate Type: Berthold 96 - No:23300/23302										
	Name .....................  Measurement										
	Counting Time [s] ........  1.00                Measurement Mode .........  by Well										
	Emission Filter ..........  No Filter										
	Second Measurement .......  No										
Calculation	Calculation Status : Valid Assay, Calculation Time : 06/11/2020 / 12:03:25										
Program	MikroWin, Version 5.17; License No. : 115317										
	Assembly Code A : 0006 0000 0000 0000 0000 FFFF										
	Assembly Code B : 00E6 F715 C08F FC45 2DC0 B7AF										
System	Operating System Name : Windows 7 Professional Service Pack 1, 64-bit, System User : commun										
Printer	Printer Name : \\fuji\fax-rdc										
											
----- Threshold Statistics -----											
Group	Assay	Set	Threshold Limits								
Group 1	Default	1	+oo > Overload >= 2,1475E9 > #Value >=    0,0000 > _ > -oo								
											
											
											
06/11/2020	12:02:07										
0	0	0	0	0	0	0	0	0	0	0	0
0	287437	370106	330850	315563	228446	142587	100338	67525	43927	20535	0
0	324026	335702	346777	299945	255646	134765	95786	70557	35773	21967	0
0	283827	361192	361335	294024	255115	122495	75307	67620	36707	27707	0
0	413321	494311	490852	324168	237185	118490	117366	87656	55920	35900	0
0	409465	485865	318113	353324	250247	112869	110581	73154	66053	38568	0
0	460470	400116	414033	286004	211996	104367	100860	79281	73597	26369	0
0	0	0	0	0	0	0	0	0	0	0	0
