											
----- General Data -----											
Measurement	Type: EndPoint, Time: 06/11/2020 / 11:03:46, State: Valid Measurement										
Template	Template loaded during measurement time : c:\programdata\...\luminescence\lumi_1s.par; Modified template adjustments										
Files	Data file : DOX_HCT_12-14_assay3.dat - 06/11/2020 / 11:05:04 - Operator was Unknown User - Created with Version 5.17										
	Template file : C:\ProgramData\...\Lumi_1s.par - 04/07/2013 / 08:57:06 - Created by Unknown User - Created with Version 5.16.01										
Reader	BertholdTech TriStar, Driver Version: 1.07, (1.0.7.0), S/N: 25-1047, Embedded Version: 1.04										
	Plate Type: Berthold 96 - No:23300/23302										
	Name .....................  Measurement										
	Counting Time [s] ........  1.00                Measurement Mode .........  by Well										
	Emission Filter ..........  No Filter										
	Second Measurement .......  No										
Calculation	Calculation Status : Valid Assay, Calculation Time : 06/11/2020 / 11:05:04										
Program	MikroWin, Version 5.17; License No. : 115317										
	Assembly Code A : 0006 0000 0000 0000 0000 FFFF										
	Assembly Code B : 00E6 F715 C08F FC45 2DC0 B7AF										
System	Operating System Name : Windows 7 Professional Service Pack 1, 64-bit, System User : commun										
Printer	Printer Name : \\fuji\fax-rdc										
											
----- Threshold Statistics -----											
Group	Assay	Set	Threshold Limits								
Group 1	Default	1	+oo > Overload >= 2,1475E9 > #Value >=    0,0000 > _ > -oo								
											
											
											
06/11/2020	11:03:46										
0	0	0	0	0	0	0	0	0	0	0	0
0	229206	254094	237185	241571	215582	147336	124878	46088	5739	28364	0
0	211655	200288	244318	235396	243771	161934	123960	46444	6444	29994	0
0	193662	229815	212217	210967	188825	176618	96934	42241	4267	28459	0
0	323211	305644	329765	291277	276663	166272	114627	46856	5739	31586	0
0	293287	315524	295401	308811	285102	189823	111413	50228	6246	29488	0
0	298916	282252	264401	310125	270497	236069	94290	42273	4259	22110	0
0	0	0	0	0	0	0	0	0	0	0	0
