miRNA Number_of_reads
hsa-mir-548x-5p 2
hsa-mir-4443-5p 1415
hsa-mir-6819-3p 11
hsa-mir-615-5p 123
hsa-mir-8052-5p 10
hsa-mir-1537-3p 7
hsa-mir-1304-3p 13
hsa-mir-941-3-5p 60
hsa-mir-1185-2-3p 11
hsa-mir-320c-2-3p 1030
hsa-mir-6794-3p 49
hsa-mir-3140-3p 777
hsa-mir-4326-5p 113
hsa-mir-3944-5p 459
hsa-mir-4508-5p 86
hsa-mir-193b-3p 41339
hsa-mir-485-5p 12
hsa-mir-3684-3p 627
hsa-mir-105-2-5p 14
hsa-mir-361-5p 64877
hsa-mir-4647-5p 14
hsa-mir-4745-5p 109
hsa-mir-502-3p 19514
hsa-mir-1273c-5p 699
hsa-mir-24-2-5p 17579
hsa-mir-1244-4-3p 6
hsa-mir-30c-1-loop 147
hsa-mir-18b-3p 6
hsa-mir-4796-5p 290
hsa-mir-412-5p 52
hsa-mir-548h-3-3p 36
hsa-mir-222-3p 2149814
hsa-mir-4428-loop 10
hsa-mir-342-3p 13805
hsa-mir-3907-3p 6
hsa-mir-192-loop 9
hsa-mir-192-3p 58
hsa-mir-33b-loop 1419
hsa-mir-548bc-3p 664
hsa-mir-3157-3p 430
hsa-mir-3115-loop 7
hsa-mir-6824-5p 16
hsa-mir-7109-5p 28
hsa-mir-4448-3p 40
hsa-mir-3173-5p 1223
hsa-mir-577-5p 5313
hsa-mir-4449-3p 103
hsa-mir-582-5p 13
hsa-mir-592-5p 30
hsa-mir-548ba-3p 3
hsa-mir-1244-2-5p 2
hsa-mir-1252-3p 113
hsa-mir-1289-1-3p 8
hsa-mir-33b-5p 149
hsa-mir-3180-1-3p 23
hsa-mir-3179-4-3p 199
hsa-mir-3691-3p 85
hsa-mir-6881-5p 15
hsa-mir-4424-5p 44
hsa-mir-6800-3p 85
hsa-mir-326-5p 18
hsa-mir-146b-3p 470
hsa-mir-6890-3p 9
hsa-mir-9902-2-3p 11
hsa-mir-3679-3p 44
hsa-mir-432-5p 1
hsa-mir-4701-5p 10
hsa-mir-6730-3p 6
hsa-mir-210-5p 417
hsa-mir-5091-5p 53
hsa-mir-1180-5p 2015
hsa-mir-107-loop 47
hsa-mir-1302-5-3p 2
hsa-mir-10a-loop 258
hsa-mir-19b-1-5p 423
hsa-mir-410-3p 66
hsa-mir-455-5p 10673
hsa-mir-6515-5p 38
hsa-let-7f-1-5p 802397
hsa-mir-769-3p 3563
hsa-mir-1233-2-5p 5
hsa-mir-181b-2-3p 79
hsa-mir-10527-5p 631
hsa-mir-4671-3p 195
hsa-mir-548c-5p 479
hsa-mir-1273c-3p 274
hsa-mir-3126-3p 100
hsa-mir-218-1-loop 2
