Well;Sample;Target;Conc(copies/µL);Status;Experiment;SampleType;TargetType;Supermix;DyeName(s);Copies/20µLWell;TotalConfMax;TotalConfMin;PoissonConfMax;PoissonConfMin;Accepted Droplets;Positives;Negatives;Ch1+Ch2+;Ch1+Ch2-;Ch1-Ch2+;Ch1-Ch2-;Linkage;CNV;TotalCNVMax;TotalCNVMin;PoissonCNVMax;PoissonCNVMin;ReferenceCopies;UnknownCopies;Threshold1;Threshold2;Threshold3;ReferenceUsed;Ratio;TotalRatioMax;TotalRatioMin;PoissonRatioMax;PoissonRatioMin;Fractional Abundance;TotalFractionalAbundanceMax;TotalFractionalAbundanceMin;PoissonFractionalAbundanceMax;PoissonFractionalAbundanceMin;MeanAmplitudeOfPositives;MeanAmplitudeOfNegatives;MeanAmplitudeTotal;ExperimentComments;MergedWells;TotalConfidenceMax68;TotalConfidenceMin68;PoissonConfidenceMax68;PoissonConfidenceMin68;TotalCNVMax68;TotalCNVMin68;PoissonCNVMax68;PoissonCNVMin68;TotalRatioMax68;TotalRatioMin68;PoissonRatioMax68;PoissonRatioMin68;TotalFractionalAbundanceMax68;TotalFractionalAbundanceMin68;PoissonFractionalAbundanceMax68;PoissonFractionalAbundanceMin68
A01;;FAM;39,6735801696777;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;793,471618652344;;;42,8686027526855;36,4872055053711;17913;594;17319;0;0;0;0;;;;;;;;;1533,16052246094;;;;;;;;;;;;;;5626,35482469552;932,684935483806;1088,32831817748;;;;;41,3026084899902;38,046802520752;;;;;;;;;;;;
B01;;FAM;75,7396011352539;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1514,7919921875;;;80,0407257080078;71,4541473388672;19182;1196;17986;0;0;0;0;;;;;;;;;1849,943359375;;;;;;;;;;;;;;5584,75681185005;934,37541424906;1224,32725198917;;;;;77,9320907592773;73,5511932373047;;;;;;;;;;;;
C01;;FAM;78,9465942382813;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1578,93188476563;;;83,2922821044922;74,6168975830078;19614;1273;18341;0;0;0;0;;;;;;;;;1816,39733886719;;;;;;;;;;;;;;5549,99489797875;918,609657981028;1219,19869695916;;;;;81,1617736816406;76,7355728149414;;;;;;;;;;;;
D01;;FAM;58,2786598205566;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1165,5732421875;;;61,9561424255371;54,6126327514648;20029;968;19061;0;0;0;0;;;;;;;;;1800,83068847656;;;;;;;;;;;;;;5672,63699252546;918,334610010168;1148,10967148477;;;;;60,1534881591797;56,406810760498;;;;;;;;;;;;
E01;;FAM;78,4130401611328;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1568,2607421875;;;82,8331298828125;74,0094909667969;18828;1214;17614;0;0;0;0;;;;;;;;;1758,04528808594;;;;;;;;;;;;;;5598,34872290723;889,539098988032;1193,15578070876;;;;;80,6661148071289;76,1642684936523;;;;;;;;;;;;
F01;;FAM;No Call;CHECK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;;;;;;19816;0;19816;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;901,636512975034;901,636512975036;;;;;;;;;;;;;;;;;;
G01;;FAM;135,408111572266;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;2708,162109375;;;141,193695068359;129,650833129883;19472;2117;17355;0;0;0;0;;;;;;;;;1877,80285644531;;;;;;;;;;;;;;5750,91888447916;901,813802216974;1429,00954272381;;;;;138,356384277344;132,467193603516;;;;;;;;;;;;
H01;;FAM;90,7513122558594;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;1815,02624511719;;;95,4248733520508;86,0962524414063;19599;1455;18144;0;0;0;0;;;;;;;;;1816,45202636719;;;;;;;;;;;;;;5711,66579749248;884,415601891815;1242,78332650016;;;;;93,1334609985352;88,3739852905273;;;;;;;;;;;;
A02;;FAM;144,835815429688;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;2896,71630859375;;;150,920074462891;138,782852172852;18915;2191;16724;0;0;0;0;;;;;;;;;1882,45544433594;;;;;;;;;;;;;;5612,16293194282;906,36926829008;1451,46014415913;;;;;147,936096191406;141,743682861328;;;;;;;;;;;;
B02;;FAM;298,70361328125;OK;DQ;Unknown;Unknown;ddPCR Supermix for Probes (no dUTP);FAM;5974,072265625;;;307,293121337891;290,176391601563;20983;4705;16278;0;0;0;0;;;;;;;;;1923,93334960938;;;;;;;;;;;;;;5588,47013314356;913,093776704287;1961,44938634288;;;;;303,078186035156;294,345275878906;;;;;;;;;;;;
