Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",19.6,ddPCR Supermix for Probes (no dUTP),392,,,21.9,17.2,269,16050,,,,,,16319,,,,,,,,,,,,,,,,,,1,1,1327,4330.3,613.94,675.2,"",,,,20.7,18.4,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",101,ddPCR Supermix for Probes (no dUTP),2020,,,106,95,1366,15317,,,,,,16683,,,,,,,,,,,,,,,,,,1,1,1348,4195.3,542.67,841.75,"",,,,103.2,97.8,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",167,ddPCR Supermix for Probes (no dUTP),3340,,,174,160,2149,14094,,,,,,16243,,,,,,,,,,,,,,,,,,1,1,1312,4199.2,501.18,990.44,"",,,,170.6,163.4,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",47.1,ddPCR Supermix for Probes (no dUTP),942,,,50.6,43.6,687,16815,,,,,,17502,,,,,,,,,,,,,,,,,,1,1,990,3509.1,434.08,554.79,"",,,,48.9,45.3,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",49.2,ddPCR Supermix for Probes (no dUTP),984,,,52.9,45.6,697,16314,,,,,,17011,,,,,,,,,,,,,,,,,,1,1,963,3376.2,421.03,542.12,"",,,,51.1,47.4,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",24.6,ddPCR Supermix for Probes (no dUTP),492,,,27.1,22.1,379,17943,,,,,,18322,,,,,,,,,,,,,,,,,,1,1,1309,4375.7,608.26,686.19,"",,,,25.9,23.3,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",101,ddPCR Supermix for Probes (no dUTP),2020,,,107,96,1351,15011,,,,,,16362,,,,,,,,,,,,,,,,,,1,1,1320,4300,544.28,854.39,"",,,,104.1,98.6,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",151,ddPCR Supermix for Probes (no dUTP),3020,,,157,144,2073,15171,,,,,,17244,,,,,,,,,,,,,,,,,,1,1,2861,7838.5,1390.9,2166,"",,,,154,147.4,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",59.9,ddPCR Supermix for Probes (no dUTP),1198,,,63.9,56,902,17256,,,,,,18158,,,,,,,,,,,,,,,,,,1,1,1047,3561,456.18,610.41,"",,,,61.9,57.9,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",26.8,ddPCR Supermix for Probes (no dUTP),536,,,29.4,24.2,404,17516,,,,,,17920,,,,,,,,,,,,,,,,,,1,1,959,3291,428.73,493.26,"",,,,28.2,25.5,,,,,,,,,,,,,
