[2021-04-12 14:47:35.009] ** STARTING RUN QuantaSoft Version 1.7.4.0917 **
[2021-04-12 14:47:39.523] ** STARTING PRE-MAIN ROUTINE **
[2021-04-12 14:48:14.071] ** STARTING A01 MAIN ROUTINE **
[2021-04-12 14:49:37.487] ** STARTING B01 MAIN ROUTINE **
[2021-04-12 14:51:00.466] ** STARTING C01 MAIN ROUTINE **
[2021-04-12 14:52:24.347] ** STARTING D01 MAIN ROUTINE **
[2021-04-12 14:53:48.301] ** STARTING E01 MAIN ROUTINE **
[2021-04-12 14:55:11.446] ** STARTING F01 MAIN ROUTINE **
[2021-04-12 14:56:35.677] ** STARTING G01 MAIN ROUTINE **
[2021-04-12 14:58:00.029] ** STARTING H01 MAIN ROUTINE **
[2021-04-12 14:59:23.749] ** STARTING A02 MAIN ROUTINE **
[2021-04-12 15:00:46.290] ** STARTING B02 MAIN ROUTINE **
[2021-04-12 15:02:09.272] ** STARTING C02 MAIN ROUTINE **
[2021-04-12 15:03:32.711] ** STARTING D02 MAIN ROUTINE **
[2021-04-12 15:04:57.165] ** STARTING E02 MAIN ROUTINE **
[2021-04-12 15:06:21.374] ** STARTING F02 MAIN ROUTINE **
[2021-04-12 15:07:45.069] ** STARTING G02 MAIN ROUTINE **
[2021-04-12 15:09:09.340] ** STARTING H02 MAIN ROUTINE **
[2021-04-12 15:10:32.991] ** STARTING A03 MAIN ROUTINE **
[2021-04-12 15:11:55.771] ** STARTING B03 MAIN ROUTINE **
[2021-04-12 15:13:18.728] ** STARTING C03 MAIN ROUTINE **
[2021-04-12 15:14:42.371] ** STARTING D03 MAIN ROUTINE **
[2021-04-12 15:16:05.886] ** STARTING E03 MAIN ROUTINE **
[2021-04-12 15:17:29.969] ** STARTING F03 MAIN ROUTINE **
[2021-04-12 15:18:54.398] ** STARTING G03 MAIN ROUTINE **
[2021-04-12 15:20:18.936] ** STARTING H03 MAIN ROUTINE **
[2021-04-12 15:21:43.011] ** STARTING A04 MAIN ROUTINE **
[2021-04-12 15:23:05.977] ** STARTING B04 MAIN ROUTINE **
[2021-04-12 15:24:28.894] ** STARTING C04 MAIN ROUTINE **
[2021-04-12 15:25:52.272] ** STARTING D04 MAIN ROUTINE **
[2021-04-12 15:27:16.217] ** STARTING E04 MAIN ROUTINE **
[2021-04-12 15:28:40.309] ** STARTING F04 MAIN ROUTINE **
[2021-04-12 15:30:04.672] ** STARTING G04 MAIN ROUTINE **
[2021-04-12 15:31:28.779] ** STARTING H04 MAIN ROUTINE **
[2021-04-12 15:32:53.393] ** STARTING A05 MAIN ROUTINE **
[2021-04-12 15:34:16.617] ** STARTING B05 MAIN ROUTINE **
[2021-04-12 15:35:38.928] ** STARTING C05 MAIN ROUTINE **
[2021-04-12 15:37:03.065] ** STARTING D05 MAIN ROUTINE **
[2021-04-12 15:38:27.131] ** STARTING E05 MAIN ROUTINE **
[2021-04-12 15:39:51.195] ** STARTING F05 MAIN ROUTINE **
[2021-04-12 15:41:15.336] ** STARTING G05 MAIN ROUTINE **
[2021-04-12 15:42:39.900] ** STARTING H05 MAIN ROUTINE **
[2021-04-12 15:44:06.925] ** STARTING POST-MAIN ROUTINE **
[2021-04-12 15:45:39.262] ** ENDING RUN **
