Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",39.7,ddPCR Supermix for Probes (no dUTP),794,,,42.9,36.5,594,17319,,,,,,17913,,,,,,,,,,,,,,,,,,1,1,1533,5626.4,932.68,1088.3,"",,,,41.3,38,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",145,ddPCR Supermix for Probes (no dUTP),2900,,,151,139,2191,16724,,,,,,18915,,,,,,,,,,,,,,,,,,1,1,1883,5612.2,906.37,1451.5,"",,,,147.9,141.7,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",171,ddPCR Supermix for Probes (no dUTP),3420,,,178,164,2458,15708,,,,,,18166,,,,,,,,,,,,,,,,,,1,1,825,2837.4,296.24,640.08,"",,,,174.5,167.6,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",75.7,ddPCR Supermix for Probes (no dUTP),1514,,,80,71.5,1196,17986,,,,,,19182,,,,,,,,,,,,,,,,,,1,1,1850,5584.8,934.38,1224.3,"",,,,77.9,73.6,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",299,ddPCR Supermix for Probes (no dUTP),5980,,,307,290,4705,16278,,,,,,20983,,,,,,,,,,,,,,,,,,1,1,1924,5588.5,913.09,1961.4,"",,,,303.1,294.3,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,20092,,,,,,20092,,,,,,,,,,,,,,,,,,1,1,0,0,298.52,298.52,"",,,,,,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",78.9,ddPCR Supermix for Probes (no dUTP),1578,,,83.3,74.6,1273,18341,,,,,,19614,,,,,,,,,,,,,,,,,,1,1,1816,5550,918.61,1219.2,"",,,,81.2,76.7,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",278,ddPCR Supermix for Probes (no dUTP),5560,,,286,270,4522,16985,,,,,,21507,,,,,,,,,,,,,,,,,,1,1,1904,5633.6,901.57,1896.5,"",,,,281.8,273.6,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",43.5,ddPCR Supermix for Probes (no dUTP),870,,,46.6,40.4,757,20117,,,,,,20874,,,,,,,,,,,,,,,,,,1,1,778,2792.5,297.77,388.24,"",,,,45,41.9,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",58.3,ddPCR Supermix for Probes (no dUTP),1166,,,62,54.6,968,19061,,,,,,20029,,,,,,,,,,,,,,,,,,1,1,1801,5672.6,918.33,1148.1,"",,,,60.2,56.4,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",234,ddPCR Supermix for Probes (no dUTP),4680,,,241,227,3914,17792,,,,,,21706,,,,,,,,,,,,,,,,,,1,1,1897,5682.1,886.01,1750.8,"",,,,237.7,230.2,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",73.8,ddPCR Supermix for Probes (no dUTP),1476,,,77.9,69.8,1304,20131,,,,,,21435,,,,,,,,,,,,,,,,,,1,1,796,2896.8,294.89,453.18,"",,,,75.9,71.8,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",78.4,ddPCR Supermix for Probes (no dUTP),1568,,,82.8,74,1214,17614,,,,,,18828,,,,,,,,,,,,,,,,,,1,1,1758,5598.3,889.54,1193.2,"",,,,80.7,76.2,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",94.6,ddPCR Supermix for Probes (no dUTP),1892,,,99.2,90.1,1669,19926,,,,,,21595,,,,,,,,,,,,,,,,,,1,1,833,3002.7,292.66,502.11,"",,,,97,92.3,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",156,ddPCR Supermix for Probes (no dUTP),3120,,,162,150,2633,18616,,,,,,21249,,,,,,,,,,,,,,,,,,1,1,833,2993.6,295.84,630.12,"",,,,158.7,152.6,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,19816,,,,,,19816,,,,,,,,,,,,,,,,,,1,1,0,0,901.64,901.64,"",,,,,,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",82,ddPCR Supermix for Probes (no dUTP),1640,,,86.3,77.7,1405,19463,,,,,,20868,,,,,,,,,,,,,,,,,,1,1,819,3018.4,291.49,475.09,"",,,,84.2,79.8,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",157,ddPCR Supermix for Probes (no dUTP),3140,,,163,151,2572,18071,,,,,,20643,,,,,,,,,,,,,,,,,,1,1,846,3036.9,295.37,636.95,"",,,,159.6,153.5,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",135,ddPCR Supermix for Probes (no dUTP),2700,,,141,130,2117,17355,,,,,,19472,,,,,,,,,,,,,,,,,,1,1,1878,5750.9,901.81,1429,"",,,,138.4,132.5,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",67.9,ddPCR Supermix for Probes (no dUTP),1358,,,71.8,64,1178,19832,,,,,,21010,,,,,,,,,,,,,,,,,,1,1,809,3094.9,291.11,448.32,"",,,,69.9,65.9,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",49,ddPCR Supermix for Probes (no dUTP),980,,,52.3,45.7,853,20046,,,,,,20899,,,,,,,,,,,,,,,,,,1,1,838,3126.4,299.25,414.65,"",,,,50.7,47.3,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",90.8,ddPCR Supermix for Probes (no dUTP),1816,,,95.4,86.1,1455,18144,,,,,,19599,,,,,,,,,,,,,,,,,,1,1,1817,5711.7,884.42,1242.8,"",,,,93.1,88.4,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",115,ddPCR Supermix for Probes (no dUTP),2300,,,120,109,1875,18321,,,,,,20196,,,,,,,,,,,,,,,,,,1,1,844,3156,286.92,553.29,"",,,,117.3,112,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",119,ddPCR Supermix for Probes (no dUTP),2380,,,124,114,1903,17872,,,,,,19775,,,,,,,,,,,,,,,,,,1,1,876,3173.4,296.12,573.01,"",,,,121.8,116.3,,,,,,,,,,,,,
