BioSample	SRA run	Organ
SAMN04263480	SRR2915344	not collected
SAMN04263479	SRR2915343	not collected
SAMN04263478	SRR2915342	not collected
SAMN04455678	SRR3144040	saliva
SAMN04455677	SRR3144039	saliva
SAMN04455676	SRR3144038	saliva
SAMN04455675	SRR3144037	saliva
SAMN04455674	SRR3144036	saliva
SAMN04455682	SRR3144046	saliva
SAMN04455684	SRR3144048	saliva
SAMN04455687	SRR3144051	saliva
SAMN04455686	SRR3144050	saliva
SAMN04455685	SRR3144049	saliva
SAMN04455683	SRR3144047	saliva
SAMN04455681	SRR3144045	saliva
SAMN04455680	SRR3144044	saliva
SAMN04455679	SRR3144041	saliva
SAMN04455690	SRR3144055	saliva
SAMN04455689	SRR3144053	saliva
SAMN04455688	SRR3144052	saliva
SAMN04455694	SRR3144060	saliva
SAMN04455691	SRR3144057	saliva
SAMN05292446	SRR4228251	LUNG
SAMN05292449	SRR4228255	BREAST
SAMN05292452	SRR4228281	PERIPHERAL BLOOD
SAMN05292437	SRR4228303	PROSTATE
SAMN07709992	SRR6081962	PROSTATE
SAMN07709993	SRR6081938	PROSTATE
SAMN07709996	SRR6081926	PROSTATE
SAMN07709995	SRR6081924	PROSTATE
SAMN07709994	SRR6081925	PROSTATE
SAMN08100219	SRR6324194	Bone
SAMN08792317	SRR6895203	Colon
SAMN08792319	SRR6895205	Colon
SAMN08792318	SRR6895204	Colon
SAMN08792316	SRR6895202	Colon
SAMN08796323	SRR6898464	Colon Epithelium
SAMN08939824	SRR7012343	total WBC
SAMN08999790	SRR7081767	plasma
SAMN08999791	SRR7081766	plasma
SAMN08999789	SRR7081768	plasma
SAMN08999788	SRR7081769	plasma
SAMN08999727	SRR7081770	plasma
SAMN08999726	SRR7081771	plasma
SAMN09080704	SRR7126092	HeLA Cells
SAMN09080705	SRR7126093	HeLA Cells
SAMN09080701	SRR7126091	HeLA Cells
SAMN09080700	SRR7126090	HeLA Cells
SAMN09080703	SRR7126089	HeLA Cells
SAMN09080702	SRR7126088	HeLA Cells
SAMN09080697	SRR7126087	HeLA Cells
SAMN09080696	SRR7126086	HeLA Cells
SAMN09080698	SRR7126084	HeLA Cells
SAMN09080715	SRR7126083	Blood
SAMN09080699	SRR7126085	HeLA Cells
SAMN09080714	SRR7126082	Blood
SAMN09080713	SRR7126079	Blood
SAMN09080712	SRR7126078	Blood
SAMN09462059	SRR7412334	Peripheral blood mononuclear cell
SAMN09462058	SRR7412333	Peripheral blood mononuclear cell
SAMN09462057	SRR7412332	Peripheral blood mononuclear cell
SAMN09462054	SRR7412329	Peripheral blood mononuclear cell
SAMN09462053	SRR7412328	Peripheral blood mononuclear cell
SAMN09462055	SRR7412330	Peripheral blood mononuclear cell
SAMN09462061	SRR7412326	Peripheral blood mononuclear cell
SAMN09462056	SRR7412331	Peripheral blood mononuclear cell
SAMN09462062	SRR7412327	Peripheral blood mononuclear cell
SAMN09462043	SRR7412315	Peripheral blood mononuclear cell
SAMN09462047	SRR7412311	Peripheral blood mononuclear cell
SAMN09462045	SRR7412313	Peripheral blood mononuclear cell
SAMN09462044	SRR7412314	Peripheral blood mononuclear cell
SAMN09462048	SRR7412310	Peripheral blood mononuclear cell
SAMN09462049	SRR7412309	Peripheral blood mononuclear cell
SAMN09462050	SRR7412308	Peripheral blood mononuclear cell
SAMN09462051	SRR7412307	Peripheral blood mononuclear cell
SAMN09462038	SRR7412303	Peripheral blood mononuclear cell
SAMN09462052	SRR7412306	Peripheral blood mononuclear cell
SAMN09462041	SRR7412304	Peripheral blood mononuclear cell
SAMN09462042	SRR7412305	Peripheral blood mononuclear cell
SAMN09462039	SRR7412300	Peripheral blood mononuclear cell
SAMN09462037	SRR7412302	Peripheral blood mononuclear cell
SAMN09462036	SRR7412297	Peripheral blood mononuclear cell
SAMN09462034	SRR7412299	Peripheral blood mononuclear cell
SAMN09462033	SRR7412298	Peripheral blood mononuclear cell
SAMN09462035	SRR7412296	Peripheral blood mononuclear cell
SAMN09462032	SRR7412284	Peripheral blood mononuclear cell
SAMN09462030	SRR7412282	Peripheral blood mononuclear cell
SAMN09462029	SRR7412283	Peripheral blood mononuclear cell
SAMN09462031	SRR7412285	Peripheral blood mononuclear cell
SAMN09462027	SRR7412281	Peripheral blood mononuclear cell
SAMN09462028	SRR7412280	Peripheral blood mononuclear cell
SAMN09462064	SRR7412274	Peripheral blood mononuclear cell
SAMN09462065	SRR7412273	Peripheral blood mononuclear cell
SAMN09462063	SRR7412275	Peripheral blood mononuclear cell
SAMN09462026	SRR7412278	Peripheral blood mononuclear cell
SAMN10691217	SRR8393464	Thyroid
SAMN10691216	SRR8393465	Thyroid
SAMN10691215	SRR8393466	Thyroid
SAMN12371225	SRR9844335	Peripheral blood
SAMN12371223	SRR9844337	Peripheral blood
SAMN12371224	SRR9844336	Peripheral blood
SAMN12371222	SRR9844338	Peripheral blood
SAMN12371221	SRR9844339	Peripheral blood
SAMN12371220	SRR9844340	Peripheral blood
SAMN12371219	SRR9844341	Peripheral blood
SAMN12371218	SRR9844342	Peripheral blood
SAMN12371217	SRR9844343	Peripheral blood
SAMN12371215	SRR9844345	Peripheral blood
SAMN12371216	SRR9844344	Peripheral blood
SAMN12371214	SRR9844346	Peripheral blood
SAMN12371152	SRR9844348	Peripheral blood
SAMN12371151	SRR9844349	Peripheral blood
SAMN12371148	SRR9844352	Peripheral blood
SAMN12371149	SRR9844351	Peripheral blood
SAMN12371147	SRR9844353	Peripheral blood
SAMN12371146	SRR9844354	Peripheral blood
SAMN12371145	SRR9844355	Peripheral blood
SAMN12371199	SRR9844357	Peripheral blood
SAMN12371200	SRR9844356	Peripheral blood
SAMN12371198	SRR9844358	Peripheral blood
SAMN12371197	SRR9844359	Peripheral blood
SAMN12371196	SRR9844360	Peripheral blood
SAMN12371194	SRR9844362	Peripheral blood
SAMN12371192	SRR9844364	Peripheral blood
SAMN12371190	SRR9844366	Peripheral blood
SAMN12371189	SRR9844367	Peripheral blood
SAMN12371188	SRR9844368	Peripheral blood
SAMN12371187	SRR9844369	Peripheral blood
SAMN12371185	SRR9844371	Peripheral blood
SAMN12371186	SRR9844370	Peripheral blood
SAMN12371184	SRR9844372	Peripheral blood
SAMN12371183	SRR9844373	Peripheral blood
SAMN12371181	SRR9844375	Peripheral blood
SAMN12371212	SRR9844378	Peripheral blood
