Sample SRX_accession_number SRX_UID SRR_accession_number
Testis_13 SRX7341032 9619197 SRR10662085
Testis_12 SRX7341031 9619196 SRR10662084
Testis_11 SRX7341030 9619195 SRR10662083
Kidney_1 SRX4659069 6289870 SRR7807372
Kidney_1 SRX4659069 6289870 SRR10696028
Kidney_14 SRX4659068 6289869 SRR7807371
Kidney_14 SRX4659068 6289869 SRR10696027
Kidney_13 SRX4659067 6289868 SRR10696026
Kidney_13 SRX4659067 6289868 SRR7807370
Kidney_12 SRX4659066 6289867 SRR7807369
Kidney_12 SRX4659066 6289867 SRR10696025
Kidney_11 SRX4659065 6289866 SRR7807368
Kidney_11 SRX4659065 6289866 SRR10696024
Kidney_10 SRX4659064 6289865 SRR10696023
Kidney_10 SRX4659064 6289865 SRR7807367
Intestine_9 SRX4659063 6289864 SRR7807366
Intestine_9 SRX4659063 6289864 SRR10696022
Intestine_8 SRX4659062 6289863 SRR7807365
Intestine_8 SRX4659062 6289863 SRR10696021
Intestine_7 SRX4659061 6289862 SRR10696020
Intestine_7 SRX4659061 6289862 SRR7807364
Intestine_6 SRX4659060 6289861 SRR10696019
Intestine_6 SRX4659060 6289861 SRR7807363
Intestine_5 SRX4659059 6289860 SRR7807362
Intestine_5 SRX4659059 6289860 SRR10696018
Intestine_4 SRX4659058 6289859 SRR10696017
Intestine_4 SRX4659058 6289859 SRR7807361
Intestine_3 SRX4659057 6289858 SRR7807360
Intestine_3 SRX4659057 6289858 SRR10696016
Intestine_2 SRX4659056 6289857 SRR10696015
Intestine_2 SRX4659056 6289857 SRR7807359
Intestine_1 SRX4659055 6289856 SRR10696014
Intestine_1 SRX4659055 6289856 SRR7807358
Intestine_14 SRX4659054 6289855 SRR7807357
Intestine_14 SRX4659054 6289855 SRR10696013
Intestine_13 SRX4659053 6289854 SRR10696012
Intestine_13 SRX4659053 6289854 SRR7807356
Intestine_10 SRX4659052 6289853 SRR7807355
Intestine_10 SRX4659052 6289853 SRR10696011
Heart_9 SRX4659051 6289852 SRR10696010
Heart_9 SRX4659051 6289852 SRR7807354
Heart_8 SRX4659050 6289851 SRR10696009
Heart_8 SRX4659050 6289851 SRR7807353
Heart_7 SRX4659049 6289850 SRR7807352
Heart_7 SRX4659049 6289850 SRR10696008
Heart_6 SRX4659048 6289849 SRR7807351
Heart_6 SRX4659048 6289849 SRR10696007
Heart_5 SRX4659047 6289848 SRR7807350
Heart_5 SRX4659047 6289848 SRR10696006
Heart_4 SRX4659046 6289847 SRR10696005
Heart_4 SRX4659046 6289847 SRR7807349
Heart_3 SRX4659045 6289846 SRR7807348
Heart_3 SRX4659045 6289846 SRR10696004
Heart_2 SRX4659044 6289845 SRR10696003
Heart_2 SRX4659044 6289845 SRR7807347
Heart_1 SRX4659043 6289844 SRR10696002
Heart_1 SRX4659043 6289844 SRR7807346
Heart_14 SRX4659042 6289843 SRR7807345
Heart_14 SRX4659042 6289843 SRR10696001
Heart_13 SRX4659041 6289842 SRR10696000
Heart_13 SRX4659041 6289842 SRR7807344
Heart_12 SRX4659040 6289841 SRR7807343
Heart_12 SRX4659040 6289841 SRR10695999
Heart_11 SRX4659039 6289840 SRR10695998
Heart_11 SRX4659039 6289840 SRR7807342
Brain_9 SRX4659038 6289839 SRR10695997
Brain_9 SRX4659038 6289839 SRR7807341
Brain_8 SRX4659037 6289838 SRR7807340
Brain_8 SRX4659037 6289838 SRR10695996
Brain_7 SRX4659036 6289837 SRR10695995
Brain_7 SRX4659036 6289837 SRR7807339
Brain_6 SRX4659035 6289836 SRR7807338
Brain_6 SRX4659035 6289836 SRR10695994
Brain_5 SRX4659034 6289835 SRR10695993
Brain_5 SRX4659034 6289835 SRR7807337
Brain_4 SRX4659033 6289834 SRR10695992
Brain_4 SRX4659033 6289834 SRR7807336
Brain_3 SRX4659032 6289833 SRR7807335
Brain_3 SRX4659032 6289833 SRR10695991
Brain_2 SRX4659031 6289832 SRR7807334
Brain_2 SRX4659031 6289832 SRR10695990
Brain_1 SRX4659030 6289831 SRR7807333
Brain_1 SRX4659030 6289831 SRR10695989
Brain_14 SRX4659029 6289830 SRR7807332
Brain_14 SRX4659029 6289830 SRR10695988
Brain_13 SRX4659028 6289829 SRR7807331
Brain_13 SRX4659028 6289829 SRR10695987
Brain_12 SRX4659027 6289828 SRR10695986
Brain_12 SRX4659027 6289828 SRR7807330
Brain_11 SRX4659026 6289827 SRR7807329
Brain_11 SRX4659026 6289827 SRR10695985
Brain_10 SRX4659025 6289826 SRR7807328
Brain_10 SRX4659025 6289826 SRR10695984
Bone_marrow_9 SRX4659024 6289825 SRR7807327
Bone_marrow_9 SRX4659024 6289825 SRR10695983
Bone_marrow_8 SRX4659023 6289824 SRR7807326
Bone_marrow_8 SRX4659023 6289824 SRR10695982
Bone_marrow_7 SRX4659022 6289823 SRR10695981
Bone_marrow_7 SRX4659022 6289823 SRR7807325
Bone_marrow_6 SRX4659021 6289822 SRR10695980
Bone_marrow_6 SRX4659021 6289822 SRR7807324
Bone_marrow_5 SRX4659020 6289821 SRR10695979
Bone_marrow_5 SRX4659020 6289821 SRR7807323
Bone_marrow_4 SRX4659019 6289820 SRR7807322
Bone_marrow_4 SRX4659019 6289820 SRR10695978
Bone_marrow_3 SRX4659018 6289819 SRR10695977
Bone_marrow_3 SRX4659018 6289819 SRR7807321
Bone_marrow_2 SRX4659017 6289818 SRR7807320
Bone_marrow_2 SRX4659017 6289818 SRR10695976
Bone_marrow_1 SRX4659016 6289817 SRR7807319
Bone_marrow_1 SRX4659016 6289817 SRR10695975
Bone_marrow_14 SRX4659015 6289816 SRR10695974
Bone_marrow_14 SRX4659015 6289816 SRR7807318
