Library Number_of_genomic_reads
SRR6713501 8599997
SRR5689166 16488287
DRR036695 5295612
SRR1304309 19936791
ERR3415707 24597558
DRR036697 10745522
SRR3341761 5097538
SRR3341762 5510376
SRR954987 22306027
SRR954996 17966120
SRR4235725 3552741
SRR4235726 3553940
ERR3173398 2733736
ERR3173397 9272303
ERR3173396 2770478
SRR1240816 6840735
SRR1240817 6379933
SRR8311268 15012437
SRR8311269 14216502
SRR12054851 12728255
SRR020286 5029203
SRR3533075 1465969
SRR3533074 1224821
SRR3533073 1288133
ERR3415712 20217077
SRR3923807 12631154
SRR3923808 10683714
SRR10225092 91071
